#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
CD41,CD4103,2020-07-14,0.3118153036294502,0.008076972176143681,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-14,0.2421036821086188,0.006271227490672013,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-14,0.7122150895377048,0.018448553982654523,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-16,0.6332680804062247,0.01640358444869448,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-16,0.5486992285786638,0.014212991956186959,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-16,0.78281075345187,0.020277198075981984,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-16,0.2885897554499093,0.00747535928467135,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-16,0.4804981068375582,0.012446373845167885,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-16,0.3118153036294502,0.008076972176143681,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-16,0.2421036821086188,0.006271227490672013,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-16,0.7122150895377048,0.018448553982654523,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-17,0.6332680804062247,0.01640358444869448,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-17,0.5486992285786638,0.014212991956186959,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-07-17,0.78281075345187,0.020277198075981984,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-07-17,0.2885897554499093,0.00747535928467135,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-07-17,0.4804981068375582,0.012446373845167885,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-07-17,0.3118153036294502,0.008076972176143681,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-07-17,0.2421036821086188,0.006271227490672013,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-07-17,0.7122150895377048,0.018448553982654523,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-07-19,0.6332680804062247,0.01640358444869448,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-07-19,0.5486992285786638,0.014212991956186959,2020-12-11 10:12:10.548655,tinkavalentijn
